,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
52,2002,1.381,1.304,0.902,0.748,0.401,0.573,0.328,-0.229,-0.043,-1.489,-1.425,-1.592
53,2003,-0.472,0.128,0.933,-0.178,1.017,-0.102,0.075,-0.28,0.467,-0.67,0.642,0.265
54,2004,-1.686,-1.528,0.318,-0.409,-0.094,-0.236,-0.201,-0.72,0.855,-0.515,0.678,1.23
55,2005,0.356,-1.271,-1.348,-0.046,-0.763,-0.383,-0.03,0.026,0.802,0.03,0.228,-2.104
56,2006,-0.17,-0.156,-1.604,0.138,0.156,1.071,0.103,-0.265,0.606,-1.029,0.521,2.282
57,2007,2.034,-1.307,1.182,0.544,0.894,-0.555,-0.397,-0.034,0.179,0.383,-0.519,0.821
58,2008,0.819,0.938,0.586,-0.455,-1.205,-0.09,-0.48,-0.08,-0.327,1.676,0.092,0.648
59,2009,0.8,-0.672,0.121,0.973,1.194,-1.351,-1.356,-0.054,0.875,-1.54,0.459,-3.413
60,2010,-2.587,-4.266,-0.432,-0.275,-0.919,-0.013,0.435,-0.117,-0.865,-0.467,-0.376,-2.631
61,2011,-1.683,1.575,1.424,2.275,-0.035,-0.858,-0.472,-1.063,0.665,0.8,1.459,2.221
62,2012,-0.22,-0.036,1.037,-0.035,0.168,-0.672,0.168,0.014,0.772,-1.514,-0.111,-1.749
63,2013,-0.61,-1.007,-3.185,0.322,0.494,0.549,-0.011,0.154,-0.461,0.263,2.029,1.475
64,2014,-0.969,0.044,1.206,0.972,0.464,-0.507,-0.489,-0.372,0.102,-1.134,-0.53,0.413
65,2015,1.092,1.043,1.837,1.216,0.763,0.427,-1.108,-0.689,-0.165,-0.25,1.945,1.444
66,2016,-1.449,-0.024,0.28,-1.051,-0.036,0.313,0.085,0.472,0.781,-1.917,-0.611,1.786
67,2017,0.942,0.34,1.365,-0.089,-0.73,0.402,0.634,0.15,-0.492,0.69,-0.078,-0.059
68,2018,-0.281,0.113,-0.941,0.544,1.18,0.38,0.612,0.836,0.585,0.413,-1.116,0.11
69,2019,-0.713,1.149,2.116,-0.255,-1.231,-0.601,-0.89,-0.722,0.306,-0.082,-1.193,0.412
70,2020,2.419,3.417,2.641,0.928,-0.027,-0.122,-0.412,-0.381,0.631,-0.072,2.086,-1.736
71,2021,-2.484,-1.191,2.109,-0.204,-0.161,0.845,0.63,-0.209,-0.252,-0.146,0.093,0.198
72,2022,0.848,1.544,0.305,-0.603,1.224,-0.074,0.025,-0.17,-0.655,1.346,0.339,-2.719
73,2023,-0.674,1.6,0.28,-0.973,1.134,-0.286,-0.154,-0.602,0.318,-0.414,-0.036,-0.221
74,2024,-0.21,0.635,-0.61,0.465,-0.048,0.136,0.587,1.284,,,,
